"Id","ActivityHour","Calories","TotalIntensity","AverageIntensity","StepTotal"
1503960366,"3/12/2016 12:00:00 AM",48,0,0,0
1503960366,"3/12/2016 1:00:00 AM",48,0,0,0
1503960366,"3/12/2016 2:00:00 AM",48,0,0,0
1503960366,"3/12/2016 3:00:00 AM",48,0,0,0
1503960366,"3/12/2016 4:00:00 AM",48,0,0,0
1503960366,"3/12/2016 5:00:00 AM",48,0,0,0
1503960366,"3/12/2016 6:00:00 AM",48,0,0,0
1503960366,"3/12/2016 7:00:00 AM",48,0,0,0
1503960366,"3/12/2016 8:00:00 AM",48,0,0,0
1503960366,"3/12/2016 9:00:00 AM",49,1,0.016667,8
1503960366,"3/12/2016 10:00:00 AM",89,26,0.433333,551
1503960366,"3/12/2016 11:00:00 AM",134,49,0.816667,1764
1503960366,"3/12/2016 12:00:00 PM",130,47,0.783333,1259
1503960366,"3/12/2016 1:00:00 PM",81,20,0.333333,253
1503960366,"3/12/2016 2:00:00 PM",254,121,2.016667,4470
1503960366,"3/12/2016 3:00:00 PM",271,129,2.15,4919
1503960366,"3/12/2016 4:00:00 PM",141,42,0.7,1905
1503960366,"3/12/2016 5:00:00 PM",104,20,0.333333,1038
1503960366,"3/12/2016 6:00:00 PM",54,2,0.033333,14
1503960366,"3/12/2016 7:00:00 PM",97,30,0.5,606
1503960366,"3/12/2016 8:00:00 PM",58,4,0.066667,56
1503960366,"3/12/2016 9:00:00 PM",100,29,0.483333,782
1503960366,"3/12/2016 10:00:00 PM",123,41,0.683333,1132
1503960366,"3/12/2016 11:00:00 PM",111,35,0.583333,918
1503960366,"3/13/2016 12:00:00 AM",55,3,0.05,39
1503960366,"3/13/2016 1:00:00 AM",48,0,0,0
1503960366,"3/13/2016 2:00:00 AM",50,1,0.016667,27
1503960366,"3/13/2016 3:00:00 AM",48,0,0,0
1503960366,"3/13/2016 4:00:00 AM",48,0,0,0
1503960366,"3/13/2016 5:00:00 AM",48,0,0,0
1503960366,"3/13/2016 6:00:00 AM",48,0,0,0
1503960366,"3/13/2016 7:00:00 AM",49,0,0,0
1503960366,"3/13/2016 8:00:00 AM",49,1,0.016667,6
1503960366,"3/13/2016 9:00:00 AM",56,5,0.083333,73
1503960366,"3/13/2016 10:00:00 AM",189,85,1.416667,2850
1503960366,"3/13/2016 11:00:00 AM",270,130,2.166667,4854
1503960366,"3/13/2016 12:00:00 PM",52,3,0.05,24
1503960366,"3/13/2016 1:00:00 PM",66,9,0.15,118
1503960366,"3/13/2016 2:00:00 PM",57,3,0.05,19
1503960366,"3/13/2016 3:00:00 PM",89,23,0.383333,510
1503960366,"3/13/2016 4:00:00 PM",91,25,0.416667,510
1503960366,"3/13/2016 5:00:00 PM",61,5,0.083333,96
1503960366,"3/13/2016 6:00:00 PM",237,110,1.833333,4100
1503960366,"3/13/2016 7:00:00 PM",146,57,0.95,1756
1503960366,"3/13/2016 8:00:00 PM",87,25,0.416667,477
1503960366,"3/13/2016 9:00:00 PM",66,9,0.15,147
1503960366,"3/13/2016 10:00:00 PM",72,17,0.283333,214
1503960366,"3/13/2016 11:00:00 PM",118,46,0.766667,1286
1503960366,"3/14/2016 12:00:00 AM",56,4,0.066667,54
1503960366,"3/14/2016 1:00:00 AM",54,3,0.05,53
1503960366,"3/14/2016 2:00:00 AM",49,0,0,0
1503960366,"3/14/2016 3:00:00 AM",48,0,0,0
1503960366,"3/14/2016 4:00:00 AM",48,0,0,0
1503960366,"3/14/2016 5:00:00 AM",49,0,0,0
1503960366,"3/14/2016 6:00:00 AM",48,0,0,0
1503960366,"3/14/2016 7:00:00 AM",53,3,0.05,53
1503960366,"3/14/2016 8:00:00 AM",68,14,0.233333,212
1503960366,"3/14/2016 9:00:00 AM",199,61,1.016667,2832
1503960366,"3/14/2016 10:00:00 AM",59,4,0.066667,43
1503960366,"3/14/2016 11:00:00 AM",72,14,0.233333,220
1503960366,"3/14/2016 12:00:00 PM",66,9,0.15,181
1503960366,"3/14/2016 1:00:00 PM",54,1,0.016667,12
1503960366,"3/14/2016 2:00:00 PM",59,6,0.1,44
1503960366,"3/14/2016 3:00:00 PM",71,13,0.216667,205
1503960366,"3/14/2016 4:00:00 PM",68,11,0.183333,152
1503960366,"3/14/2016 5:00:00 PM",76,17,0.283333,226
1503960366,"3/14/2016 6:00:00 PM",96,29,0.483333,516
1503960366,"3/14/2016 7:00:00 PM",100,33,0.55,559
1503960366,"3/14/2016 8:00:00 PM",124,45,0.75,1104
1503960366,"3/14/2016 9:00:00 PM",67,12,0.2,252
1503960366,"3/14/2016 10:00:00 PM",48,0,0,0
1503960366,"3/14/2016 11:00:00 PM",198,90,1.5,3305
